gene_id,gene_name,gt,paean,salmon,kallisto,featureCounts,rsem,paean_acc,salmon_acc,kallisto_acc,featureCounts_acc,rsem_acc
ENSG00000183317.17,EPHA10,23,22,18,18,22,11,95.65217391,78.26086957,78.26086957,95.65217391,47.82608696
ENSG00000143889.16,HNRNPLL,79,78,63,74,78,56,98.73417722,79.74683544,93.67088608,98.73417722,70.88607595
ENSG00000235903.9,CPB2-AS1,111,106,86,92,100,73,95.4954955,77.47747748,82.88288288,90.09009009,65.76576577
ENSG00000181195.11,PENK,215,194,151,140,141,90,90.23255814,70.23255814,65.11627907,65.58139535,41.86046512
ENSG00000229437.2,LINC00366,55,48,27,31,48,17,87.27272727,49.09090909,56.36363636,87.27272727,30.90909091
ENSG00000230768.9,LINC01676,62,60,43,47,60,30,96.77419355,69.35483871,75.80645161,96.77419355,48.38709677
ENSG00000232965.1,RPS12P18,9,7,0,1,7,0,77.77777778,0,11.11111111,77.77777778,0
ENSG00000237579.3,LINC01514,12,8,5,6,8,5,66.66666667,41.66666667,50,66.66666667,41.66666667
ENSG00000236204.6,LINC01376,274,255,207,234,252,154,93.06569343,75.54744526,85.40145985,91.97080292,56.20437956
ENSG00000233008.6,LINC01725,28,27,21,23,27,15,96.42857143,75,82.14285714,96.42857143,53.57142857
ENSG00000167553.16,TUBA1C,12,11,7,6,1,5,91.66666667,58.33333333,50,8.333333333,41.66666667
ENSG00000186184.19,POLR1D,95,52,28,30,51,24,54.73684211,29.47368421,31.57894737,53.68421053,25.26315789
ENSG00000237491.10,LINC01409,165,162,110,144,140,91,98.18181818,66.66666667,87.27272727,84.84848485,55.15151515
ENSG00000138002.16,IFT172,3,2,2,2,2,2,66.66666667,66.66666667,66.66666667,66.66666667,66.66666667
ENSG00000228525.1,AL353689.1,8,6,3,0,6,0,75,37.5,0,75,0
ENSG00000222240.1,RN7SKP156,15,12,4,4,12,1,80,26.66666667,26.66666667,80,6.666666667
ENSG00000101493.11,ZNF516,12,10,2,5,10,1,83.33333333,16.66666667,41.66666667,83.33333333,8.333333333
ENSG00000218363.1,SLC25A20P1,23,22,15,15,21,6,95.65217391,65.2173913,65.2173913,91.30434783,26.08695652
ENSG00000287077.1,AL157893.2,57,51,38,35,39,30,89.47368421,66.66666667,61.40350877,68.42105263,52.63157895
ENSG00000228133.3,AC099684.1,181,172,129,141,110,99,95.02762431,71.27071823,77.90055249,60.77348066,54.6961326
ENSG00000039068.19,CDH1,305,278,207,247,254,156,91.14754098,67.86885246,80.98360656,83.27868852,51.14754098
ENSG00000081923.15,ATP8B1,76,71,50,31,28,25,93.42105263,65.78947368,40.78947368,36.84210526,32.89473684
ENSG00000179387.10,ELMOD2,20,19,12,15,19,11,95,60,75,95,55
ENSG00000118503.15,TNFAIP3,1245,1198,947,1131,1193,806,96.2248996,76.06425703,90.84337349,95.82329317,64.73895582
ENSG00000187098.17,MITF,213,199,145,170,198,116,93.42723005,68.07511737,79.81220657,92.95774648,54.4600939
ENSG00000067955.15,CBFB,89,83,66,79,83,52,93.25842697,74.15730337,88.76404494,93.25842697,58.42696629
ENSG00000225105.2,LINC01076,18,17,3,3,17,0,94.44444444,16.66666667,16.66666667,94.44444444,0
ENSG00000115687.14,PASK,46,44,39,42,34,32,95.65217391,84.7826087,91.30434783,73.91304348,69.56521739
